check	status	detail
Mpower deterministic event/pair recomputation P08/21	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/22	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/22	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/22	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/22	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 22	PASS	A/sqrt(2) each component
pair diagnostic schema P08/22	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/22	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/22	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/23	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/23	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/23	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/23	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 23	PASS	A/sqrt(2) each component
pair diagnostic schema P08/23	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/23	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/23	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/24	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/24	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/24	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/24	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 24	PASS	A/sqrt(2) each component
pair diagnostic schema P08/24	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/24	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/24	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/25	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/25	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/25	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/25	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 25	PASS	A/sqrt(2) each component
pair diagnostic schema P08/25	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/25	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/25	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/26	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/26	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/26	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/26	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 26	PASS	A/sqrt(2) each component
pair diagnostic schema P08/26	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/26	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/26	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/27	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/27	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/27	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/27	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 27	PASS	A/sqrt(2) each component
pair diagnostic schema P08/27	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/27	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/27	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/28	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/28	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/28	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/28	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 28	PASS	A/sqrt(2) each component
pair diagnostic schema P08/28	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/28	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/28	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/29	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/29	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/29	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/29	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 29	PASS	A/sqrt(2) each component
pair diagnostic schema P08/29	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/29	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/29	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/30	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/30	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/30	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/30	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 30	PASS	A/sqrt(2) each component
pair diagnostic schema P08/30	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/30	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/30	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/31	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/31	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/31	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/31	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 31	PASS	A/sqrt(2) each component
pair diagnostic schema P08/31	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/31	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/31	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/32	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/32	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/32	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/32	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 32	PASS	A/sqrt(2) each component
pair diagnostic schema P08/32	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/32	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/32	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/33	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/33	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/33	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/33	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 33	PASS	A/sqrt(2) each component
pair diagnostic schema P08/33	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/33	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/33	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/34	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/34	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/34	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/34	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 34	PASS	A/sqrt(2) each component
pair diagnostic schema P08/34	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/34	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/34	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/35	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/35	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/35	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/35	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 35	PASS	A/sqrt(2) each component
pair diagnostic schema P08/35	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/35	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/35	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/36	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/36	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/36	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/36	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 36	PASS	A/sqrt(2) each component
pair diagnostic schema P08/36	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/36	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/36	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/37	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/37	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/37	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/37	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 37	PASS	A/sqrt(2) each component
pair diagnostic schema P08/37	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/37	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/37	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/38	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/38	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/38	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/38	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 38	PASS	A/sqrt(2) each component
pair diagnostic schema P08/38	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/38	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/38	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/39	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/39	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/39	PASS	Threefry substream 2 mask
